Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
08-27-2020,127.14,125.01,127.49,123.83,155552400
08-28-2020,126.01,124.81,126.44,124.58,187629920
08-31-2020,127.58,129.04,131.00,126.00,225702700
09-01-2020,132.76,134.18,134.80,130.53,152470100
09-02-2020,137.59,131.40,137.98,127.00,200119000
09-03-2020,126.91,120.88,128.84,120.50,257599600
09-04-2020,120.07,120.96,123.70,110.89,332607200
09-08-2020,113.95,112.82,118.99,112.68,231366600
09-09-2020,117.26,117.32,119.14,115.26,176940500
09-10-2020,120.36,113.49,120.50,112.50,182274400
09-11-2020,114.57,112.00,115.23,110.00,180860300
09-14-2020,114.72,115.36,115.93,112.80,140150100
09-15-2020,118.33,115.54,118.83,113.61,184642000
09-16-2020,115.23,112.13,116.00,112.04,155026700
09-17-2020,109.72,110.34,112.20,108.71,178011000
09-18-2020,110.40,106.84,110.88,106.09,287104900
09-21-2020,104.54,110.08,110.19,103.10,195713800
09-22-2020,112.68,111.81,112.86,109.16,183055400
09-23-2020,111.62,107.12,112.11,106.77,150718700
09-24-2020,105.17,108.22,110.25,105.00,167743300
09-25-2020,108.43,112.28,112.44,107.67,149981400
09-28-2020,115.01,114.96,115.32,112.78,137672400
09-29-2020,114.55,114.09,115.31,113.57,100060500
09-30-2020,113.79,115.81,117.26,113.62,142675200
10-01-2020,117.64,116.79,117.72,115.83,116120400
10-02-2020,112.89,113.02,115.37,112.22,144712000
10-05-2020,113.91,116.50,116.65,113.55,106243800
10-06-2020,115.70,113.16,116.12,112.25,161498200
10-07-2020,114.62,115.08,115.55,114.13,96848990
10-08-2020,116.25,114.97,116.40,114.59,83477150
10-09-2020,115.28,116.97,117.00,114.92,100506900
10-12-2020,120.06,124.40,125.18,119.28,240226800
10-13-2020,125.27,121.10,125.39,119.65,262330500
10-14-2020,121.00,121.19,123.03,119.62,151062300
10-15-2020,118.72,120.71,121.20,118.15,112559200
10-16-2020,121.28,119.02,121.55,118.81,115393800
10-19-2020,119.96,115.98,120.42,115.66,120639300
10-20-2020,116.20,117.51,118.98,115.63,124423700
10-21-2020,116.67,116.87,118.71,116.45,89945980
10-22-2020,117.45,115.75,118.04,114.59,101988000
10-23-2020,116.39,115.04,116.55,114.28,82572650
10-26-2020,114.01,115.05,116.55,112.88,111850700
10-27-2020,115.49,116.60,117.28,114.54,92276770
10-28-2020,115.05,111.20,115.43,111.10,143937800
10-29-2020,112.37,115.32,116.93,112.20,146129200
10-30-2020,111.06,108.86,111.99,107.72,190573500
11-02-2020,109.11,108.77,110.68,107.32,122866900
11-03-2020,109.66,110.44,111.49,108.73,107624400
11-04-2020,114.14,114.95,115.59,112.35,138235500
11-05-2020,117.95,119.03,119.62,116.87,126387100
11-06-2020,118.32,118.69,119.20,116.13,114457900
11-09-2020,120.50,116.32,121.99,116.05,154515300
11-10-2020,115.55,115.97,117.59,114.13,138023400
11-11-2020,117.19,119.49,119.63,116.44,112295000
11-12-2020,119.62,119.21,120.53,118.57,103350700
11-13-2020,119.44,119.26,119.67,117.87,81688590
11-16-2020,118.92,120.30,120.99,118.15,91183020
