Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
09-22-2020,205.06,207.42,208.10,202.08,33517070
09-23-2020,207.90,200.59,208.10,200.03,30803780
09-24-2020,199.85,203.19,205.57,199.20,31202490
09-25-2020,203.55,207.82,209.04,202.54,29437310
09-28-2020,210.88,209.44,212.57,208.06,32004940
09-29-2020,209.35,207.26,210.07,206.81,24464470
09-30-2020,207.73,210.33,211.98,206.54,33829090
10-01-2020,213.49,212.46,213.99,211.32,27158420
10-02-2020,208.00,206.19,210.99,205.54,33154780
10-05-2020,207.22,210.38,210.41,206.98,21331560
10-06-2020,208.82,205.91,210.18,204.82,28554260
10-07-2020,207.06,209.83,210.11,206.72,25681050
10-08-2020,210.51,210.58,211.19,208.32,19925840
10-09-2020,211.23,215.81,215.86,211.23,26458050
10-12-2020,218.79,221.40,223.86,216.81,40461370
10-13-2020,222.72,222.86,225.21,220.43,28950840
10-14-2020,223.00,220.86,224.22,219.13,23451710
10-15-2020,217.10,219.66,220.36,216.01,22733060
10-16-2020,220.15,219.66,222.29,219.32,26057880
10-19-2020,220.42,214.22,222.30,213.72,27625840
10-20-2020,215.80,214.65,217.37,213.09,22753510
10-21-2020,213.12,214.80,216.92,213.12,22724910
10-22-2020,213.93,214.89,216.06,211.70,22351450
10-23-2020,215.03,216.23,216.28,213.16,18879610
10-26-2020,213.85,210.08,216.34,208.10,37111560
10-27-2020,211.59,213.25,214.67,210.33,36700330
10-28-2020,207.67,202.68,208.84,202.10,51195590
10-29-2020,204.07,204.72,207.36,203.37,31432560
10-30-2020,203.50,202.47,204.29,199.62,36980110
11-02-2020,204.29,202.33,205.28,200.12,30842160
11-03-2020,203.89,206.43,208.12,203.12,27512030
11-04-2020,214.02,216.39,218.32,212.42,42311780
11-05-2020,222.04,223.29,224.12,221.15,36080140
11-06-2020,222.26,223.72,224.36,218.03,25231900
11-09-2020,224.44,218.39,228.12,217.88,44394950
11-10-2020,214.50,211.01,216.50,209.72,44045120
11-11-2020,212.39,216.55,218.04,212.20,29440790
11-12-2020,217.21,215.44,219.11,214.46,21616120
11-13-2020,216.36,216.51,217.42,214.16,18630310
11-16-2020,214.87,217.23,217.74,214.52,24953340
11-17-2020,216.10,214.46,217.68,214.08,24154110
11-18-2020,213.65,211.08,215.17,210.93,28372790
11-19-2020,211.38,212.42,213.03,209.93,24792750
11-20-2020,212.20,210.39,213.29,210.00,22843120
11-23-2020,210.95,210.11,212.29,208.16,25683510
11-24-2020,209.59,213.86,214.25,208.86,33979730
11-25-2020,215.11,213.87,215.29,212.46,21012890
11-27-2020,214.85,215.23,216.27,214.04,14512210
11-30-2020,214.10,214.07,214.76,210.84,33064750
12-01-2020,214.51,216.21,217.32,213.35,30931320
12-02-2020,214.88,215.37,215.47,212.80,23724510
12-03-2020,214.61,214.24,216.38,213.65,25120920
12-04-2020,214.22,214.36,215.38,213.18,24666040
12-07-2020,214.37,214.29,215.54,212.99,24620000
12-08-2020,213.97,216.01,216.95,212.89,23284090
12-09-2020,215.16,211.80,215.23,211.21,32440600
12-10-2020,211.77,210.52,213.08,210.36,26467020
12-11-2020,210.05,213.26,213.32,209.11,30979440
12-14-2020,213.10,214.20,216.21,212.88,28798380
12-15-2020,215.17,214.13,215.42,212.24,27018110
12-16-2020,214.75,219.28,220.11,214.72,35023250
12-17-2020,219.87,219.42,220.89,217.92,32515780
12-18-2020,218.59,218.59,219.69,216.02,63354920
12-21-2020,217.55,222.59,224.00,217.28,37181890
12-22-2020,222.69,223.94,225.63,221.85,22643400
12-23-2020,223.11,221.02,223.56,220.80,18699640
12-24-2020,221.42,222.75,223.61,221.20,10550570
12-28-2020,224.45,224.96,226.03,223.02,17933500
12-29-2020,226.31,224.15,227.18,223.58,17403210
12-30-2020,225.23,221.68,225.63,221.47,20272340
12-31-2020,221.70,222.42,223.00,219.68,20942130
01-04-2021,222.53,217.69,223.00,214.81,37130140
01-05-2021,217.26,217.90,218.52,215.70,23822950
01-06-2021,212.17,212.25,216.49,211.94,35930650
01-07-2021,214.04,218.29,219.34,213.71,27694480
01-08-2021,218.68,219.62,220.58,217.03,22956210
01-11-2021,218.47,217.49,218.91,216.73,23047030
01-12-2021,216.50,214.93,217.10,213.32,23249340
01-13-2021,214.02,216.34,216.76,213.93,20087080
01-14-2021,215.91,213.02,217.46,212.74,29346740
01-15-2021,213.52,212.65,214.51,212.03,31746510
01-19-2021,213.75,216.44,216.98,212.63,30480860
01-20-2021,217.70,224.34,225.79,217.29,37777260
01-21-2021,224.70,224.97,226.30,222.42,30749550
01-22-2021,227.08,225.95,230.07,225.80,30172660
01-25-2021,229.12,229.53,229.78,224.22,33152100
01-26-2021,231.86,232.33,234.18,230.08,49169600
01-27-2021,238.00,232.90,240.44,230.14,69870640
01-28-2021,235.61,238.93,242.64,235.09,49111160
01-29-2021,235.99,231.96,238.02,231.35,42503140
02-01-2021,235.06,239.65,242.50,232.43,33314190
02-02-2021,241.30,239.51,242.31,238.69,25916340
02-03-2021,239.57,243.00,245.09,239.26,27158100
02-04-2021,242.66,242.01,243.24,240.37,25296100
02-05-2021,242.23,242.20,243.28,240.42,18054750
02-08-2021,243.15,242.47,243.68,240.81,22211930
02-09-2021,241.87,243.77,244.76,241.38,23564950
02-10-2021,245.00,242.82,245.92,240.89,22186710
02-11-2021,244.78,244.49,245.15,242.15,15751060
02-12-2021,243.93,244.99,245.30,242.73,16561080
02-16-2021,245.03,243.70,246.13,242.92,26728490
02-17-2021,241.32,244.20,244.31,240.94,21673110
02-18-2021,241.80,243.79,243.93,240.86,16925560
02-19-2021,243.75,240.97,243.86,240.18,25262600
02-22-2021,237.42,234.51,237.93,232.40,36446940
02-23-2021,230.33,233.27,234.83,228.73,30228700
02-24-2021,230.01,234.55,235.20,229.00,26339750
02-25-2021,232.08,228.99,234.59,227.88,39542240
02-26-2021,231.53,232.38,235.37,229.54,37819230
03-01-2021,235.90,236.94,237.47,233.15,25332840
03-02-2021,237.01,233.87,237.30,233.45,22812460
03-03-2021,232.16,227.56,233.58,227.26,34029530
03-04-2021,226.74,226.73,232.49,224.26,44727790
03-05-2021,229.52,231.60,233.27,226.46,41872770
03-08-2021,231.37,227.39,233.37,227.13,35267440
03-09-2021,232.88,233.78,235.38,231.67,33080530
03-10-2021,237.00,232.42,237.00,232.04,29746810
03-11-2021,234.96,237.13,239.17,234.31,29907590
03-12-2021,234.01,235.75,235.82,233.23,22653660
03-15-2021,234.96,234.81,235.19,231.81,26042670
03-16-2021,236.28,237.71,240.06,235.94,28092200
03-17-2021,236.15,237.04,238.55,233.23,29562100
03-18-2021,232.56,230.72,234.19,230.33,34852250
03-19-2021,231.02,230.35,232.47,229.35,46430730
03-22-2021,230.27,235.99,236.90,230.14,30127010
03-23-2021,237.49,237.58,241.05,237.07,31638380
03-24-2021,237.85,235.46,238.00,235.32,25620130
03-25-2021,235.30,232.34,236.94,231.57,34061850
03-26-2021,231.55,236.48,236.71,231.55,25479850
03-29-2021,236.59,235.24,236.80,231.88,25227460
03-30-2021,233.53,231.85,233.85,231.10,24792010
03-31-2021,232.91,235.77,239.10,232.39,43623470
04-01-2021,238.47,242.35,242.84,238.05,30337980
04-05-2021,242.76,249.07,249.96,242.70,36910610
04-06-2021,247.61,247.86,249.40,246.88,22931920
04-07-2021,247.81,249.90,250.93,247.19,22719840
04-08-2021,252.77,253.25,254.14,252.00,23625200
04-09-2021,252.87,255.85,255.99,252.44,24326830
04-12-2021,254.71,255.91,257.67,254.62,27148670
04-13-2021,257.26,258.49,259.19,256.83,23837470
04-14-2021,257.48,255.59,258.83,255.16,23070940
04-15-2021,257.93,259.50,259.93,257.73,25627480
04-16-2021,259.47,260.74,261.00,257.60,24878580
04-19-2021,260.19,258.74,261.48,257.82,23209260
04-20-2021,257.82,258.26,260.20,256.84,19722880
04-21-2021,258.94,260.58,260.68,257.25,24030380
04-22-2021,260.21,257.17,261.78,255.64,25606150
04-23-2021,257.88,261.15,261.51,257.27,21499290
04-26-2021,261.66,261.55,262.44,260.17,19763350
04-27-2021,261.59,261.97,263.19,260.12,31014210
04-28-2021,256.08,254.56,256.54,252.95,46903120
04-29-2021,255.46,252.51,256.10,249.00,40589020
04-30-2021,249.74,252.18,253.08,249.60,30945100
05-03-2021,253.40,251.86,254.35,251.12,19626570
